NCT Number,Phases_NCT,PMID
NCT02721732,Phase 2,33427689
NCT02721732,Phase 2,32534809
NCT02721732,Phase 2,32303619
NCT02721732,Phase 2,32188704
NCT02721732,Phase 2,31533818
NCT02721732,Phase 2,31532833
NCT02312557,Phase 2,32616555
NCT02879994,Phase 2,29874546
NCT02359851,Phase 2,30787124
NCT02267603,Phase 2,32272501
NCT02267603,Phase 2,27093365
NCT02267603,Phase 2,30726175
NCT02767934,Phase 2,32692850
NCT02499952,Phase 2,29045540
NCT02733159,Phase 2,32199466
NCT03345134,Phase 2,31796469
NCT02886585,Phase 2,32483359
NCT02865811,Phase 2,32771276
NCT03464734,Phase 2,32979512
NCT02364076,Phase 2,29395863
NCT03044730,Phase 2,32060053
NCT02332980,Phase 2,28424162
NCT02492568,Phase 2,33096027
NCT02492568,Phase 2,31294749
NCT02362997,Phase 2,31917843
NCT02362997,Phase 2,30952672
NCT02609503,Phase 2,32371539
NCT02636010,Phase 2,33287189
NCT02736266,Phase 2,33071107
NCT02736266,Phase 2,32979511
NCT02736266,Phase 2,32847746
NCT02736266,Phase 2,32605888
NCT02736266,Phase 2,32165065
NCT02736266,Phase 2,31708296
NCT02736266,Phase 2,31882281
NCT02736266,Phase 2,30811283
NCT02736266,Phase 2,30343614
NCT03197467,Phase 2,31046714
NCT02085070,Phase 2,32251621
NCT02085070,Phase 2,31479702
NCT02085070,Phase 2,30407895
NCT02085070,Phase 2,28275886
NCT02085070,Phase 2,27267608
NCT02574598,Phase 2,32271354
NCT02296684,Phase 2,32665297
NCT02697630,Phase 2,31046743
NCT02674061,Phase 2,32012411
NCT02674061,Phase 2,31046082
NCT02406781,Phase 2,31442817
NCT02406781,Phase 2,28662235
NCT04430699,Phase 2,32928237
NCT02636725,Phase 2,31395100
NCT02636725,Phase 2,31078463
NCT02362048,Phase 2,32114502
NCT03385226,Phase 2,33072126
NCT03069378,Phase 2,31971541
NCT02939651,Phase 2,32152503
NCT02607631,Phase 2,32076579
NCT02607631,Phase 2,30647082
NCT02335411,Phase 2,30911859
NCT02335411,Phase 2,29543932
NCT03051659,Phase 2,32880602
NCT01905657,Phase 2|Phase 3,31446994
NCT01905657,Phase 2|Phase 3,30711649
NCT01905657,Phase 2|Phase 3,30657853
NCT01905657,Phase 2|Phase 3,26712084
NCT01905657,Phase 2|Phase 3,32305010
NCT01905657,Phase 2|Phase 3,32078391
NCT01905657,Phase 2|Phase 3,31395089
NCT01866319,Phase 3,31345627
NCT01866319,Phase 3,30096704
NCT01866319,Phase 3,28987768
NCT01866319,Phase 3,28822576
NCT01866319,Phase 3,25891173
NCT01866319,Phase 3,33360855
NCT01866319,Phase 3,32305010
NCT01866319,Phase 3,31395089
NCT01866319,Phase 3,30736858
NCT01866319,Phase 3,30202085
NCT02853331,Phase 3,33284113
NCT02853331,Phase 3,30779529
NCT02853331,Phase 3,29439857
NCT02576977,Phase 3,33086159
NCT02576977,Phase 3,31327687
NCT02578680,Phase 3,32150489
NCT02578680,Phase 3,32035514
NCT02578680,Phase 3,29658856
NCT02702401,Phase 3,33231873
NCT02563002,Phase 3,33264544
NCT03850444,Phase 3,33231285
NCT02220894,Phase 3,33231285
NCT02220894,Phase 3,31610828
NCT02220894,Phase 3,30955977
NCT02362594,Phase 3,32418051
NCT02362594,Phase 3,31895407
NCT02362594,Phase 3,31012765
NCT02362594,Phase 3,29658430
NCT02362594,Phase 3,32946353
NCT02362594,Phase 3,31395089
NCT02564263,Phase 3,33026938
NCT02819518,Phase 3,33278935
NCT03036488,Phase 3,32101663
NCT03221426,Phase 3,30777447
NCT03040999,Phase 3,32490686
NCT02142738,Phase 3,32926507
NCT02142738,Phase 3,31880807
NCT02142738,Phase 3,29129441
NCT02142738,Phase 3,27718847
NCT02142738,Phase 3,32305010
NCT02142738,Phase 3,31395089
NCT02494583,Phase 3,32880601
NCT02579863,Phase 3,31327689
NCT03553836,Phase 3,31870188
NCT03615326,Phase 3,33167735
NCT02252042,Phase 3,33371020
NCT02252042,Phase 3,33239737
NCT02252042,Phase 3,30509740
NCT02252042,Phase 3,30944020
NCT03189719,Phase 3,30735435
NCT03711032,Phase 3,32162533
NCT04194944,Phase 3,33150799
NCT02256436,Phase 3,31729625
NCT02256436,Phase 3,31050707
NCT02256436,Phase 3,29590008
NCT02256436,Phase 3,28212060
NCT02256436,Phase 3,31395089
NCT02256436,Phase 3,29562804
NCT02370498,Phase 3,29880231
NCT03066778,Phase 3,32468956
NCT02358031,Phase 3,31679945
NCT02775435,Phase 3,32599071
NCT02775435,Phase 3,30280635
NCT02775435,Phase 3,31751163
NCT02752074,Phase 3,31221619
NCT00744042,Phase 1|Phase 2,22397652
NCT00287716,Phase 3,31047956
NCT00287729,Phase 3,31047956
NCT01366209,Phase 3,31047956
NCT01913639,Phase 2,31570517
NCT01516814,Phase 3,25851062
NCT01516814,Phase 3,25717286
NCT01516840,Phase 3,25717286
NCT01516840,Phase 3,25851062
NCT00571649,Phase 3,31975354
NCT00571649,Phase 3,24970782
NCT00571649,Phase 3,24460645
NCT00571649,Phase 3,23388003
NCT00571649,Phase 3,28762617
NCT01923818,Phase 2|Phase 3,26458895
NCT03764241,Phase 3,32355836
NCT03506815,Phase 3,30046762
NCT04059679,Phase 4,32129681
NCT01499953,Phase 3,33368114
NCT01499953,Phase 3,28219692
NCT01499953,Phase 3,26973347
NCT01431456,Phase 3,23355673
NCT03363035,Phase 4,32965585
NCT03566303,Phase 2|Phase 3,33150497
NCT03566303,Phase 2|Phase 3,30293126
NCT02042534,Phase 2,28892526
NCT02042534,Phase 2,25346499
NCT03282643,Phase 1|Phase 2,30903459
NCT02313909,Phase 3,32640945
NCT02313909,Phase 3,32628266
NCT02313909,Phase 3,32517582
NCT02313909,Phase 3,32295509
NCT02313909,Phase 3,32056346
NCT02313909,Phase 3,31526123
NCT02313909,Phase 3,31401971
NCT02313909,Phase 3,29766772
NCT01145859,Phase 1,30534008
NCT01145859,Phase 1,30534007
NCT01145859,Phase 1,23912563
NCT03055026,Phase 3,31818628
NCT02157272,Phase 3,30002145
NCT02334254,Phase 4,26003433
NCT00402597,Phase 2,21570509
NCT00402597,Phase 2,19539361
NCT03796377,Phase 1,32959922
NCT02303795,Phase 2,33196155
NCT02303795,Phase 2,33045224
