NCT Number,Phases_NCT,PMID
NCT01035255,3_0,27143684
NCT01035255,3_0,26915374
NCT01035255,3_0,26022006
NCT01035255,3_0,25176015
NCT01035255,3_0,23563576
NCT01035255,3_0,27895026
NCT01035255,3_0,26231885
NCT01035255,3_0,25416329
NCT01692301,2_0,24496699
NCT03832660,2_0,32125709
NCT00729664,1_0,22658128
NCT00887588,2_0,26754625
NCT00887588,2_0,25277997
NCT00887588,2_0,24184245
NCT00887588,2_0,22932717
NCT00549770,2_0,20236700
NCT01920711,3_0,33727901
NCT01920711,3_0,31726194
NCT01920711,3_0,31475794
NCT01920711,3_0,29980595
NCT01920711,3_0,28662936
NCT02108652,2_0,29489427
NCT02302807,3_0,29562804
NCT01903993,2_0,28761384
NCT04330638,3_0,32493441
NCT02164864,3_0,32562206
NCT02164864,3_0,32389658
NCT02164864,3_0,32252548
NCT02164864,3_0,31439336
NCT02164864,3_0,28844193
NCT02164864,3_0,30015064
NCT02406677,4_0,31721978
NCT02031471,3_0,30649524
NCT02031471,3_0,29244149
NCT03350633,3_0,32333897
NCT01297699,3_0,30480323
NCT02682823,4_0,31043095
NCT04317092,2_0,33087150
NCT04317092,2_0,33043164
NCT04317092,2_0,33031955
NCT04315480,2_0,33307107
NCT01450137,2_0,29961816
NCT01450137,2_0,26952547
NCT01713842,2_0,33301930
NCT01713842,2_0,30877202
NCT01713842,2_0,26929219
NCT01768572,3_0,33164349
NCT01768572,3_0,30590833
NCT01768572,3_0,32453485
NCT01256736,3_0,32508063
NCT04104607,1_0,33067297
NCT01120366,4_0,31106666
NCT01120366,4_0,29853455
NCT01120366,4_0,26733110
NCT02573012,4_0,32711802
NCT01717170,2_0,33042579
NCT00144599,3_0,24786929
NCT00144599,3_0,24634205
NCT02404558,1_0,32453485
NCT02097524,1_0,32726514
NCT02097524,1_0,32453485
NCT02097524,1_0,30590833
NCT01000441,4_0,31413865
NCT01000441,4_0,29884223
NCT01717859,4_0,32803573
NCT01717859,4_0,32025629
NCT00144612,3_0,24786929
NCT00144612,3_0,24634205
NCT03863015,2_0,33081828
NCT01637532,2_0,26216383
NCT02843789,4_0,32993784
NCT01910038,2_0,30054122
NCT04356937,3_0,33085857
